,Qoraalka,Qeybta
52,hadal nin weyn dirislow zxp daa cadaabta haysku raacaane?ƒÿà,Positive-Wanaag
53,Staress pay nagtaan qaday sas darteda dadka bay normally wax wlipa uga dhigysaa,Negative-Xumaan
54,Ka dib 3 years letter maanta ayaan Subscribe ku saaray ani ..... sabbtuna waa mawduuca oo i qanciyey?£ö??Ä,Positive-Wanaag
55,asc wr wb walalaha qaaliga iso dhaweeya o iso  booqda subscribe isaara waad mahadsantihiin?ƒÿì?ƒÿì?ƒÿì,Positive-Wanaag
56,Waligey xita kuma fikirin ajnabi wx ween oo qalad ah baan u arka nin islamed ma rabi walalhey ba iga bdn ?ƒñú wlhi mid hdu i xumey midkle idawesanayo anigna  mba dhibi doono  coz wa jirkeyga ?¥ñ??Å?ƒæì ilahow no da wilashena,Negative-Xumaan
57,"Queen  qaawan   baba jey  kumaanu  barane  raga  somaliyeeed  ee 24  saac kahadlayaan kubaranay iyo views kaa lagu raadiyo. Teedakale  dadka somalida erayga  qofbaa qof jiidanaya uun  baanka maqla, adigu hadaa  haduu qof  gala  ku dheho  gaalow miyaad  iska qadanaysa  soo qof samac iyo basarleh maahid oo illlahay   caqli  aaad wax kukala garato  kumasiin. marka waxaan idin  oranlaha dadka caqligooda haku  cayaarina, Midakale aan somalida kalayaabay waxaweeyan qof baa raba  inuu asagu naftaada kaa jeclaado  oo uu naftada  waxa saxda u ah  iyo waxa  khaldaka  u ah  kaaga shekeyoo oo ku dheheo anigaa  naftada kaa og, tusaale ahan aniga hada queen qaawan  hadii lacadabo iyo hadii la janeeyo mid aniga  iitaal maaha tayda uun  i qusaysa taas bana  la iwadiinaya  aduun iyo aakhiraba",Negative-Xumaan
58,Haa wlhi shaqadeeduba waa cayda dadka,Negative-Xumaan
59,Mss world rali gali,Positive-Wanaag
60,Waa qof damiirkii ka dhintay,Negative-Xumaan
61,Waa run waa benaley dhilona ah?ƒÿå?ƒÿå?ƒÿå?ƒÿå,Negative-Xumaan
62,"XISHOODKII BAA DHAMMAADAY, 
WAXAYNU JOOGNAA XILLI SHUUBOOYINKII BIG SHOUTOUT LOO SAMAYNAYO, 
SUBXAAN ALLAH",Negative-Xumaan
63,eydi ku dhashay was miss world 20 000$ragaa ka bixonaya ee adiga samiixa futo weyn free ku was,Negative-Xumaan
64,"mss wold meesha maxaa kenay  
afkaaga kareeb miss wold",Negative-Xumaan
65,Baaba jey inuuu suaalaha waydiiyo uu ku faraxsana waayo waa maalintii ugu horeysay ee uu arkay,Negative-Xumaan
66,Mss world ha odhan de shb,Neutral-Dhexdhexaad
67,"ASAD HAJIO 929K
DIRISLE ABDI 913K",Neutral-Dhexdhexaad
68,Oo Adiga sowtaa Adiga iyo samiixo qolka Maxaa kasamsen war xishoo tii aa kenyo ugu tagtay oo buuran sowtii nimanka nasaha sari jirtay vaar lagaa hayo Hellow,Negative-Xumaan
69,Baba Jay ku dhaha runti ma wax baa laga badalay kkkkk??,Negative-Xumaan
70,War nagtaas wlhi tu runta doonto maha ee siwalbod wx ugu sheegto maha tuqadanayso ee wxn is idhi  way walantahay,Negative-Xumaan
71,Adiga ben badan,Negative-Xumaan
72,Qaniis qaniis,Negative-Xumaan
73,Dirisle Abdi 1M ma gaartay ?ƒÿé?ƒÿé?ƒÿé,Neutral-Dhexdhexaad
74,Cky ayow kuso daray?ƒñú?ƒñú,Neutral-Dhexdhexaad
75,"Allaha ka abaalnmariyo sidaad umada wax u fahansiisay, shaqada qoftaas heyso gaalada baa ka xishooto.",Positive-Wanaag
76,Alle ha soo hanuuniyo,Positive-Wanaag
77,"Best reaction Dirisle Abdi
Wixi dad so hadlay nin runta iyo xaqiiqada si wanagsan u taabty Waxa jira dirisle rabigi ku uuma codkar ka dhigay walaal Masha allah ?ƒÑ??¥ñ??Å",Positive-Wanaag
78,"?ƒñ¬Anigu mar Horaa sheegay 
baba jey garaadkiisa iyo muuqiisa ineysan is laheyn",Negative-Xumaan
79,Legend Wan ku wataa. ?ƒÿç,Neutral-Dhexdhexaad
80,Ku sarimayo sxb,Neutral-Dhexdhexaad
81,Jazaakallaah,Positive-Wanaag
82,Babajey waa bahan yahay,Negative-Xumaan
83,"Dhalinyarooy Baabajey Washamsi Halagu qaado inaga diinteena , dhaqankeena,Mustaqbalkena ayu Ku ciyaarayaaye 

Like dhe Hdaad igu raacday?ƒæì",Negative-Xumaan
84,Aduunyadii ceebta wey ku badatey waxaa loo baahan yahy diinteena inaan difaacno dirisle diinta jeclaaw wll mcn,Negative-Xumaan
85,samiixay caydayda nahadaaah,Negative-Xumaan
86,Iyaad iyo kii umaad u keenye waxpa isma dhamaan qoof jiraan waye  ale haso hanuniyo,Negative-Xumaan
87,Dirisle adi iYo samiixa markaay idin tiri waad is wastaan hadalkaa baa kolay adi aad kusii gubaya,Negative-Xumaan
88,warun  dirisle waxad kahadashay wax jiro,Positive-Wanaag
89,Msswoll afka ma ka xaday ?ƒÿé?ƒÿé?ƒÿé,Negative-Xumaan
90,Abdirisaaq Abdi maygaag bro legend bad tahy gabadhan mini documentary kaso samee aad dadka uga digayso khayrna alle hakugu abaal gudo taliye,Positive-Wanaag
91,"XISHOODKII BAA DHAMMAADAY, 
WAXAYNU JOOGNAA XILLI SHUUBOOYINKII BIG SHOUTOUT LOO SAMAYNAYO, 
SUBXAAN ALLAH",Negative-Xumaan
92,"NINKAAS BAABA JEY WAA DHILLO KORIYE , 
OOHINTII IYO IS YEEL YEELKII WAA KAA ULA GALAY SHUUBADA SHANTA SOOMAALI",Negative-Xumaan
93,Maasha allaah I love ?¥ñ??Å habo,Positive-Wanaag
94,Video hadaaba daawatay ku noqo like saar! Waayo wu u Qalmaa,Positive-Wanaag
95,Dirislow MISS WORLD MXA MESHAN UKENTAYNA PAL VEDIO 5 DAQIQO UDAMBESA DHAGAYSTA BAL AZXPY?ƒñú?ƒñú?ƒñú?ƒñú,Positive-Wanaag
96,Darisle mss world baa kudartaye maxaa jira,Negative-Xumaan
97,Mss would mxaaa meesha keeny?ƒÿà?ƒÿà?ƒÿà?ƒÿà?ƒÿà,Negative-Xumaan
98,Manshallah si wnagsna bad uga hadashay?ƒÆò?ƒÆò?ƒÆò?ƒÆò?ƒÆò?ƒæÅ?ƒæÅ?ƒæÅ?ƒæÅ?ƒæÅ,Positive-Wanaag
99,Team baaba jey halkan ma ku jiraan?ƒÿà?ƒÿà?£î,Neutral-Dhexdhexaad
100,"Derisle waa shaksi ka yimid dhul dhaqankii laga yaqaano,lkn baba jeey waa reer xamar oo dhaqan ma leh",Negative-Xumaan
101,"Horta qoftan waxay sheegta markaste lacag ban haysta waxan ahay qof $$$ joodari ka dhigata. Waxa suaal ah haday runteed tahay maxa 24h tik tok iyo youtube dhax dhigay. Doqontan waxa haysta wax weyn wallahi self esteem aya ka dhintay waayo waxay ogtahay noloshan ay ku jirto inay tahay tii ugu liidatay dunida. Prostitution hday dooratay that means she is a lost soul, meel ay ka soo qabato malee anymore.",Negative-Xumaan
102,Jasakallah khayr dirisle.,Positive-Wanaag
103,Darisloow vaaar mss world ayaa dhahday queen qaawan dheh bal.,Negative-Xumaan
104,Dirisle hadal ayAn ka qoray ahaa xumaanta normal ha u ar kina teeda yar iyo teeda wynba wallhi w RUNtii wiilkan barakow huno,Positive-Wanaag
105,Horay uu soco gudomiye,Positive-Wanaag
106,Cungeeda waxa ka qaaty dolwda norwey wa qoftaas qoftaaas,Negative-Xumaan
107,Horta dirisle wax kaliya een isku raacnay waa cayda iyo ceebahnta dadka dhaqan Ka xun sida dareemar qawan,Negative-Xumaan
108,Dirisile adiga guurso queen  qawan,Negative-Xumaan
109,Mashallah dirilse wlo love you?¥ñ?ƒÑ?,Positive-Wanaag
110,Babajeey w?áshamsi halaguqaadho,Negative-Xumaan
111,Waxaan maxaad ka wad wadan qofkan idiinka ka daranba,Negative-Xumaan
112,Ninka somaliga ehe kufakaraya mss world guurso waa ayo. Marku dhahayo idirisle inusan ulajedin mss world ee u rabay inu dhaho queen qawan ayan ubadin. 18 daqiiqo marku marayo video gu bu oran sidaa,Negative-Xumaan
113,ASC wll  nin  rageed  ayaad tahay ee ha la qabto waxaas  xumantada   waa in laga hortaha  yaan  normal loo arkoin  hadaladeedan  fusuqa  ee wasakhaysan,Negative-Xumaan
114,Asc asxaabta qaliga isoo booqda YouTube channelkayga ?¥ñ??Å?ƒÑ?,Positive-Wanaag
115,Naagtan somalidu inay la hadlaa iska daaye inay tiktok ka saaraan baan wacan oo ay report gareeyaan dadkan caanka ah ee naagtan lunsan la had hadlaya ha joojiyaan gabadhi hala takooro oo hala fogeeyo dadka yaan lagu soo dhex darin ha ogaato waxan ay ku jirtaa inay qalad tahay yada iyo kuwa bidix layaashaba somalidan tiktok isticmaashaa inay report dhahaan Bay ahyd waa kuwan dadka cadiga ahba flowda kala noqonayee tan iyo raga bidixlayaasha ahba in  report la saaro weeyaan accounts kooda dirisle si wacan baad umada ugu sheegtay naagtan inay fasahaad iyo xumaan somalida kula dhex jirto yadna ilahay ha soo hanuunsho amiin amini amiin,Negative-Xumaan
116,Dad badan ayaa diintoodi iyo dhaqankoodii islaanamadoodii ikirey nolshaan benta run moody,Negative-Xumaan
117,Dirisle legend sxb waa ninka Kaliyee runta Sheega Marka  xaqiiqda laga Hadlo,Neutral-Dhexdhexaad
118,Mu hiimadu waxa weeyN IN LAGA DHIGO WAXAN WAX ISKA CAADIYA,Neutral-Dhexdhexaad
119,Vaar Dirisle mss world ?ƒîÄ kulaha dhiidhi aya cagaha kula jirta ?ƒÿà?ƒÿà?ƒÿà,Neutral-Dhexdhexaad
120,Wll gabadhan dadkooga shaqo iskuma laha wey kabaxday dad culima ah ayaa dhalay oo wngsan lkn markay qurbaha tagtay ayey is badashay markaa dadkooda wey kala goeen shaqo iskuma laha dad wadado ah ayaa dhalay lkn iyadu wey lunsantahay xataa meeshay ka dhalatay mashegto inaad aragteen umalayn markaa dadkooduba wey nacen oo xarimeen markaa haku mashquulina illahay ayaa kala xisaab tami wxay wadee illahayna hasoo hanuniyo ?ƒÖÅ,Neutral-Dhexdhexaad
121,Ajinabi naagta guursanaysa may walan tahay maxa ka qaldan,Negative-Xumaan
122,canada jogaa i aamin qosolka waa ka xanaaqacanada jogaa i aamin qosolka waa ka xanaaqa,Positive-Wanaag
123,Waa bahanahy baqti loma.cunaa ayan maqli jiri ?ƒÿò?ƒÿò?ƒÿò,Negative-Xumaan
124,quen qaawan comments wee ku irtaa waan hubaa,Negative-Xumaan
125,"Nagtas groupkii washamsi ha loo diro si social media mel walba oy istcmasho report loo
Dhaho",Negative-Xumaan
127,Mss world Aaaaaaa,Negative-Xumaan
128,Brooo i swear ninkan hadu halmar kuso fadhiisto i swear he will make you retire. Dirisle waa legend ?¥ñ??Å,Negative-Xumaan
129,Mss world aaaa?ƒñú?ƒñú?ƒñú?ƒñú,Negative-Xumaan
130,Dhilo waa dhilo uun Allaha soo hadeeyo iyada iyo kuwa qarsoonba,Negative-Xumaan
131,Dirislow naagtan waa dhal sheekh quraan iyo cilmi maadi inay kaa dheerayso wa xaqiiq sxp waana hooyo caruurteedi wadanki ayay uga timid qurbahayna ku walatay ilahay wado wngsn Allaha kusoo rido kolay hadaynta ilahayba leh ?ƒñ??ƒñ??ƒñ??ƒñ?,Negative-Xumaan
132,Haa wllhy wilashena somaliyed wx dhama lawa illhy hano xifdiyo inta lunsana hanoso hadeeyo,Positive-Wanaag
133,"Baabajey washamsi hagu qaado
Maalin walba queen qaawan,cilm & wcm bui agjoogaa 
Shiikh shantay aahay",Negative-Xumaan
134,Somalida waxaa kala yaaabay dadka inay ku mashquulaan maahin shaqo kle mlhn gaalkiina technologyad cusub ayuu soo saaraa mar kasta somalina ayagaa isku mashquulaayaan,Negative-Xumaan
135,Dhaqankadaa ilashoooo,Positive-Wanaag
136,Dee aduu tan gabadh haku sheegin ee sharmuuto dheh,Negative-Xumaan
137,Qabiir,Neutral-Dhexdhexaad
138,"Dirisle MashaAlah
Sifiicanad ufalanqeysay
Waa ku mahadsantahay madama oo aad si dhaba uga hadashay Mowduucan oo aadan kukaftamin
Legend waa kuwata horay usoco",Neutral-Dhexdhexaad
139,Subxanllah?ƒÑ??ƒÑ??ƒÑ??ƒÑ?,Positive-Wanaag
140,Masha Allah tabarakalaah walalkay,Positive-Wanaag
141,Mss wold aa iska eeg halka?ƒÿé,Negative-Xumaan
142,maadmy samixa cydy miyaa war ka fuq gbadha uff,Negative-Xumaan
143,Goat ka Youtuber ada coming soon 1m?ƒÿè?ƒÆ¬,Positive-Wanaag
144,"18:00-18:20 
?ƒÿé?ƒÿéMSSWORLD kulaHa",Negative-Xumaan
145,*SIIL HADII SADAQO KA BAXDO LA ISMABA GUURSADEEN*,Negative-Xumaan
146,dadka caaanka naguso dhisaaaYo sharmuuuTo faaaaneso tan ka hor lama arag masiiibo nagula imtixaaanaYo waaYe alle ha inaga qabTo,Negative-Xumaan
147,Wax badan sameysaty kulaha ?ƒÿé?ƒÿé,Negative-Xumaan
148,Freee Dhaga hadal Ck Wiiil bey iskumid yihiin?ƒÿé?ƒÿé?ƒÿé?ƒÿé?ƒÿé,Negative-Xumaan
149,Wiilkan 90ka muxu ck okudhax hadla maba jogi karo miya asiko ck anaan kahadalin?ƒÿé?ƒÿé?ƒÿéwlh qof hada kuqafiifdo waa iska sidas?ƒñú?ƒñú?ƒñú,Negative-Xumaan
150,Kkk adiga ck hdaadan ka hdlin ma hdli kartid miya,Negative-Xumaan
151,Car wakaaase Batuuulo key bal intaas oo Daqiiiqo bila Qosol iyo bilaa dadkale Asago Vedio so Dhex Galin ha hadlo wakaaze,Negative-Xumaan
152,lipxs labo mah,Negative-Xumaan
153,Mss world yaa maqlay mise waa dhagahayga ?ƒñö?ƒñö?ƒñö?ƒñö,Negative-Xumaan
154,Dirisle miss wollk afka Miya kaaga Dhacay,Negative-Xumaan
155,Dirisle af uraaye kalexo Qawan ma gartide hadi la badina la firiyo ada ka danbi bad  marka Kalexo,Negative-Xumaan
156,Bila aqli baa tahe gabadha ugu duce inu ilaaahay soo hadeyo maxa lagu gaara xumanteeda iyo in jirkeda ka ganacsata abayo ilahay adi xata ha ku so hadeyo,Negative-Xumaan
157,"People should start minding their own business .Talking about someone for a whole 29mins,this aint content.Only Allah can judge someone.",Negative-Xumaan
158,Best YouTuber ever in somali history,Positive-Wanaag
159,Huuno alle haso hanuniyo walahi wa aakhiru samaan,Negative-Xumaan
160,Comments Kan king CK yaan laga waayin ?ƒÿé,Negative-Xumaan
161,"Wuuba kujiraye linkan ck wuuku
 qafiifey?ƒÿé?ƒÿé?ƒÿé linkan markastano video oo soduwo wuu kujira ck",Negative-Xumaan
162,Mansha Allaah brother I think ninkaan babajey wax ayaa kakhaldan?ƒÿé?ƒÿé?ƒÿé?ƒÿé,Negative-Xumaan
163,Baabajay waxa qalday ama uu ka wadaa inay run ka sheegto xumaanteeda,Negative-Xumaan
164,Waxaan u malaynaya ninka guursanlahaa inuu yahay baabajay,Negative-Xumaan
165,Adigaah gabadh mel aad ku gursatay adan soo bandhigin sideed u bashashaan oo isku racdaan merlo,Negative-Xumaan
166,War naagta dadka ha laga qabto,Negative-Xumaan
167,Adiga iyo Samixa dhaqabxumada aad wadaan cunto afka la isu galiyo yaah idiin baneyey,Negative-Xumaan
168,Free miss world ?ƒîì kkkk wa lagu qaldan miskiinta,Negative-Xumaan
169,"Baba jey Alle cafis weydiso
Video delete iska dheh",Positive-Wanaag
170,"SubxanaAllah yaa Rabbi
Ilaahay ha soo hanuuniyo gabadhaas 
Iyo inta lunsan, Aamiin Aamiin yaa Allah?ƒÿî",Positive-Wanaag
171,You mean shaitan qawan,Negative-Xumaan
172,Arintan laga yaabo inay madaxaga dad badan ku ogaadaan sida darteeda wax fiican maadan samayn,Negative-Xumaan
173,Dirisle runta kugu jeclahey dinta difac,Neutral-Dhexdhexaad
174,Qofka dhaqanka xun in lafogeeyo ayaa haboon waan layaabay baabajay,Negative-Xumaan
175,YouTubers somalida kuligood khalad ka ma abari karan adiga mooye nin adag bad thy oo hadal yaqan ah  gulayso sxb,Negative-Xumaan
176,keep going legend dirisle?ƒÑ??ƒÑ?,Positive-Wanaag
177,Kkkkkkkkkkkbenta mahiin daad aybaa garaneey ayeey 90kaaba cayda oo intaa kuudhaagantahy,Negative-Xumaan
178,Waa run mafiicno,Positive-Wanaag
179,drisle wll qaali vaar weyn baa  gashay xumaan kaama aheen like saar hada vaarka horay u araktay ,Positive-Wanaag
180,dirisle abdi salan sare wllo wlhi sifican ayaad u fahan thy wlhi waxay tahayba,Positive-Wanaag
181,Dirisle abdi wll qli si anaagsan ayaa ula hadashay m.a keep up pro,Negative-Xumaan
182,Wa wax laga xishowdo  wlhi baba waxa ka qaldan,Negative-Xumaan
183,The legend zhp horta usoco one million  waan gaadh nay,Negative-Xumaan
184,GaranTa iska badal nio,Negative-Xumaan
185,Abayo YouTube channelkayga iso boqo ?¥ñ??Å,Neutral-Dhexdhexaad
186,"Wilashii Soomaaliyeed.
Cabsi ayey ku ridden naagahaa suuqa ku jiraa.
Waayo kii guur haweysta.
Magaca faarax ayey ugu yeedhaan.
Gabdhaha waxaan u sheegaya in ay guursaday wilashii 
Soomaaliyeed.
Waayo anagu wadanka aan ku nooshahay.
Wiilal Soomaaliya noo soo raadi ayaa Hala yidhaa.
Markaa wiilasha soomaaliyeed.
Wadamada lagu ceebeeyey noo soo sheega.",Negative-Xumaan
187,dirisle wan ogalahy gabartas iney gabar xuntahy ee rabto iney gabdhaha kale duleeyso lkn adiga ne ayantan video yashada Ash ma aha ayantan sababto eh waliga inte ku aragte gabar iyo wiil oo is qabin oo dalxiis isku raacaayo oo hal guri isla wada dagaayo dhaqankas makula fican yahay diinta islamka ma sidaas bey ku farte,Positive-Wanaag
188,Wiixii lagaa xiishiin jiirey dumar ku xaraagodaa imiid walhi waa wax leyskaa qabtoo naagtan iyo kuwa lamidaaba  dirisleh wall runta rabi kugu jecel,Negative-Xumaan
189,Legend dirisle apdi runta kugu Ogeyn xywanka Dhaqanka islaamka Wax garanyn Usheeg team dirisle 1M coming soon ?ƒæì,Negative-Xumaan
190,"Awal videos kaga marki an arko waan iska dawanjirey, lakin runti subscribe iyo like midna ma saarin. Balse this video ?ƒæì?ƒÅ? waan kuu saaray subscribe waan kugu tabtay.. Thanks bro, and keep doing the good work and wacyi gilinta noocano kale ?ƒæî?ƒÅ??ƒæÅ?ƒÅ?",Neutral-Dhexdhexaad
191,Waa dhillo doqonna.....lakin baba j ayaa ka doqonsan..walee wiil xamar jooga xaarlee waaye kkkkkkkk,Negative-Xumaan
192,Aduunka waxan la yaabay sadaqaan baxsadaa illhaykii abuuray macsidii uu xaaranshayna waa ku guda jirtaa hadana lacagtay ka shaqayso ay leedahay sadaqaan baxshaa,Negative-Xumaan
193,Waliba waxay sadaqo ka baxsata lacag ay xuman ku keentay ilaahay ha so hadeeye uso duce,Negative-Xumaan
194,dirislahaygii ,Neutral-Dhexdhexaad
195,"Wlhi gabadhaan dhaqan xumadayda Somalida qaar wax normal bay uga dhigtay plz dadka halaga wacyigaliyo qoftaan... 
wac yigalintaadu waa super Inaa kuceshtaa I hayso you are legend bro keep going",Negative-Xumaan
196,Runlow?ƒÆ»wxas in lagu hadlo wlhi waba qalad mgceda xtaa nagadaayo?ƒÿÅ,Negative-Xumaan
197,Videoga report dhaha calaacal loma baahna ficil ba loo baahanyhy,Negative-Xumaan
198,Wanaaga ku dadaaLa,Neutral-Dhexdhexaad
199,Wllhi run ayad  shegtay somalidu waa dad muslin ah 100/100 lakin waxa sobatay dadka xumanta badiyo,Neutral-Dhexdhexaad
200,Wlhi wa run,Neutral-Dhexdhexaad
201,Haye,Neutral-Dhexdhexaad
202,Msswld maxaa u dhahdey,Negative-Xumaan
203,"Wuxuu ahaa naxariis badane 
Rabbi caalamkan u soo Diray 
Nebi muxammed scw?ÖÑ",Positive-Wanaag
204,Var mss world maha ee qaawan  dheh,Negative-Xumaan
205,Lgnd dirisle wankuwata,Positive-Wanaag
206,Faarax somaali anagaa ku faana m.a Ala hanoo dayyo wiilasha somaaliyeed aamiin,Negative-Xumaan
207,Inant max ku dab dhigey  qof bad u hilenysaa wankal  lab  tay subscribe,Negative-Xumaan
208,Waligeey like kuuma fsaarin caawa like kuu  saaray . Adna iska daa samixaa taa taabashadeeda wax caadi ah kadhigaaayo.,Negative-Xumaan
209,Ninkan wa caqlilow ?ƒñì,Positive-Wanaag
210,Qaawan wxeey Bala ku dhigtay nin somaali ha guursan    somaalia,Negative-Xumaan
211,"Insha Alla
Allaha ku gaadjsiyo meshaad rabto iyo meel kasii saraysaba",Positive-Wanaag
212,Abayo YouTube channelkayga iso boqo ,Neutral-Dhexdhexaad
213,Asad xaajiyow  aya kategay weska fadhida mesha,Negative-Xumaan
214,Ya ila maqlayey misswoll,Negative-Xumaan
215,Wlh qiiro iyo xamaasad baa lataktey ilaa magacii kuwareerey queen qawan buu dhihi rabey mss world buu dhahay sorry walalkey Najmo waa niyada kugu haya xuman hauarkin,Negative-Xumaan
216,Jiiskan share out ayuu,Negative-Xumaan
217,Ayada iyo will baa isku mid cidii fahanthy iso raaca,Negative-Xumaan
218,Boqortooyo,Positive-Wanaag
219,Baaba jeey wx weyn baa ka khaldan run buu wx walba Ay sheegto lee yhy AR may liis u balan qaaday liisku waa halise,Negative-Xumaan
220,"Sorry dirisle mssworld bad ku qaladay magaceda

Tan kale aad baad ugu mhdsnthy sidaad uga hadashay naagtaas waxa thy afar Iyo tobnaad?ÖÑ??Å?ƒÆ»",Negative-Xumaan
221,Waaa wareey adiga ma ahane waa markay adiga iyo  samixa sirtiin bananka keentay   waan  ka helay say idin karbashaysay,Positive-Wanaag
222,Var mss world aaa,Negative-Xumaan
223,Walee waaa yaaab ragiii aduunka maamuli lahaaa waaa kaaa ,Negative-Xumaan
224,Vedio dhaxal-Gal ah ayaad ka hadashay naagtas iyo dad kale oo badan in loo duceeyo ayey mudan yihiin ee maaha in la daawado oo lagu daydo hadii kle Hoog & qasaare ayey idiin horseedaysa Aduun iyo Aakhiraba xataa ragga daawanaya indhahiina sino uga baqa wllalayal ,Positive-Wanaag
225,dirislow miss World baa kaa soo fakatay,Positive-Wanaag
226,Wixii calosha kujiro afka madhafi karo,Negative-Xumaan
227,Ani baaba jey waba kala noqdy tagerihiisna mi ihi,Negative-Xumaan
