title,company,location,posted,url
Horyaal Hospital ,Horyaal Hospital ,Somalia," March 25, 2024",https://qaranjobs.com/job/horyaal-hospital-chief-cashiers/
Horyaal Hospital ,Horyaal Hospital ,Somalia," March 25, 2024",https://qaranjobs.com/job/horyaal-hospital-lab-technician-8-positions/
"Information Management Officer (Child Protection AoR), Mogadishu, Somalia",United Nations Children’s Fund (UNICEF) ,"Mogadishu, Somalia"," March 25, 2024",https://qaranjobs.com/job/information-management-officer-child-protection-aor-mogadishu-somalia/
"Somali Jobs at IOM (5 Positions) Closing Tomorrow (March 26, 2024).",International Organization for Migration (IOM) ,Somalia," March 25, 2024",https://qaranjobs.com/?post_type=job_listing&p=30600
"Curriculum Development Technical Advisor-Somali Diaspora Expert, Mogadishu, Somalia",International Organization for Migration (IOM) ,"Mogadishu, Somalia"," March 25, 2024",https://qaranjobs.com/job/curriculum-development-technical-advisor-somali-diaspora-expert-mogadishu-somalia/
Somali Jobs at  CTG ,CTG - Committed To Good ,Somalia," March 25, 2024",https://qaranjobs.com/?post_type=job_listing&p=30597
"ICT Administration / Training Support (Assets Management), Somalia",CTG - Committed To Good ,Somalia," March 25, 2024",https://qaranjobs.com/job/ict-administration-training-support-assets-management-somalia-2/
Graphic Designer,Huda Organics ,Hargesia," March 25, 2024",https://qaranjobs.com/job/graphic-designer-2/
"ICT Administration / Training Support, Somalia",CTG - Committed To Good ,Somalia," March 24, 2024",https://qaranjobs.com/job/ict-administration-training-support-somalia-2/
"Research Technical Advisor-Diaspora Expert, Mogadishu, Somalia",International Organization for Migration (IOM) ,"Mogadishu, Somalia"," March 24, 2024",https://qaranjobs.com/job/research-technical-advisor-diaspora-expert-mogadishu-somalia/
Somali jobs at Save the Children (8 Positions),Save the Children ,Somalia," March 24, 2024",https://qaranjobs.com/?post_type=job_listing&p=30590
Somali jobs at the Federal Republic of Somalia (7 positions): apply,Federal Republic of Somalia - Jamhuuriyadda Federaalka Soomaaliya ,Somalia," March 23, 2024",https://qaranjobs.com/job/somali-jobs-at-the-federal-republic-of-somalia-7-positions-apply/
"Senior Security Transition and Reform Advisor, Mogadishu, Somalia",CTG ,"Mogadishu, Somalia"," March 23, 2024",https://qaranjobs.com/job/senior-security-transition-and-reform-advisor-mogadishu-somalia/
"Senior Social Sector Development and Service Delivery Advisor, Mogadishu, Somalia",CTG ,"Mogadishu, Somalia"," March 23, 2024",https://qaranjobs.com/job/senior-social-sector-development-and-service-delivery-advisor-mogadishu-somalia/
"Agriculture and Markets Officer, Jowhar, Somalia",CTG ,"Jowhar, Somalia"," March 23, 2024",https://qaranjobs.com/job/agriculture-and-markets-officer-jowhar-somalia/
"Food Security Data Analyst, Somalia",Food and Agriculture Organization of the United Nations (FAO) ,Somalia," March 23, 2024",https://qaranjobs.com/job/food-security-data-analyst-somalia/
"Protection Officer, Hargeisa, Somalia",Danish Refugee Council (DRC) ,"Hargeisa, Somalia"," March 23, 2024",https://qaranjobs.com/job/protection-officer-hargeisa-somalia/
Consultancy ,IDLO - International Development Law Organization ,"Mogadishu, Somalia"," March 23, 2024",https://qaranjobs.com/job/consultancy-police-technical-expert-mogadishu-somalia/
Consultancy ,International Development Law Organization (IDLO) ,"Mogadishu, Somalia"," March 23, 2024",https://qaranjobs.com/job/consultancy-police-training-team-leader-mogadishu-somalia/
Project Specialist ,Food and Agriculture Organization of the United Nations (FAO) ,Somalia," March 23, 2024",https://qaranjobs.com/job/project-specialist-restoring-riverine-eco-systems-for-climate-adaptation-restore-somalia/
"SUPPLY OFFICER at UNSOS, Mogadishu, Somalia",United Nations Support Office in Somalia (UNSOS) ,"Mogadishu, Somalia"," March 23, 2024",https://qaranjobs.com/job/supply-officer-at-unsos-mogadishu-somalia/
"Technical Officer at WHO, Hargeisa, Somalia",World Health Organization (WHO) ,"Hargeisa, Somalia"," March 23, 2024",https://qaranjobs.com/job/technical-officer-at-who-hargeisa-somalia/
"Nutrition Officer, NOA (Open for Somali Nationals Only), Kismayo, Somalia",United Nations Children's Fund (UNICEF) ,"Kismayo, Somalia"," March 23, 2024",https://qaranjobs.com/job/nutrition-officer-noa-open-for-somali-nationals-only-kismayo-somalia/
"GPE MEAL Manager (Open to Somali nationals only), Somalia",Save the Children ,Somalia," March 23, 2024",https://qaranjobs.com/job/gpe-meal-manager-open-to-somali-nationals-only-somalia/
"GPE Support Function Head (Open to Somali nationals only), Mogadishu, Somalia",Save the Children ,"Mogadishu, Somalia"," March 23, 2024",https://qaranjobs.com/job/gpe-support-function-head-open-to-somali-nationals-only-mogadishu-somalia/
"Internal Audit & Compliance Coordinator (1 Position) at Save the Children, Somalia",Save the Children ,"Mogadishu, Somalia"," March 23, 2024",https://qaranjobs.com/job/internal-audit-compliance-coordinator-1-position-at-save-the-children-somalia/
"Nutrition Cluster Information Management Officer at UNICEF, Somalia",United Nations Children's Fund (UNICEF) ,Somalia," March 23, 2024",https://qaranjobs.com/job/nutrition-cluster-information-management-officer-at-unicef-somalia/
"Administration Assistant (Fleet, Facilities, and General Admin) at WFP, Hargeisa, Somalia",World Food Programme (WFP) ,"Hargeisa, Somalia"," March 23, 2024",https://qaranjobs.com/job/administration-assistant-fleet-facilities-and-general-admin-at-wfp-hargeisa-somalia/
"Programme Policy Officer (Cash Based Transfer) at WFP, Mogadishu, Somalia",World Food Programme (WFP) ,"Mogadishu, Somalia"," March 23, 2024",https://qaranjobs.com/job/programme-policy-officer-cash-based-transfer-at-wfp-mogadishu-somalia/
"Operations Officer at WHO, Mogadishu, Somalia",World Health Organization (WHO) ,"Mogadishu, Somalia"," March 23, 2024",https://qaranjobs.com/job/operations-officer-at-who-mogadishu-somalia/
"Project Management Specialist, (Joint Police Programme) at UNDP, Mogadishu, Somalia",United Nations Development Programme (UNDP) ,"Mogadishu, Somalia"," March 23, 2024",https://qaranjobs.com/job/project-management-specialist-joint-police-programme-at-undp-mogadishu-somalia/
"Food Security Data Analyst at FAO, Mogadishu, Somalia",Food and Agriculture Organization of the United Nations (FAO) ,"Mogadishu, Somalia"," March 23, 2024",https://qaranjobs.com/job/food-security-data-analyst-at-fao-mogadishu-somalia/
"SWALIM Liaison Specialist (SC9) at FAO, Garowe, Somalia",Food and Agriculture Organization of the United Nations (FAO) ,"Garowe, Somalia"," March 23, 2024",https://qaranjobs.com/job/swalim-liaison-specialist-sc9-at-fao-garowe-somalia/
"Primary Health Supervisor at Trócaire, Gedo, Somalia",Trócaire ,"Gedo, Somalia"," March 23, 2024",https://qaranjobs.com/job/primary-health-supervisor-at-trocaire-gedo-somalia/
"Monitoring, Evaluation, Accountability and Learning (MEAL) Coordinator at Trócaire, Gedo, Somalia",Trócaire ,"Gedo, Somalia"," March 23, 2024",https://qaranjobs.com/job/monitoring-evaluation-accountability-and-learning-meal-coordinator-at-trocaire-gedo-somalia/
"Training Center Manager at SRCS, Mogadishu, Somalia",Somali Red Crescent Society (SRCS) ,"Mogadishu, Somalia"," March 23, 2024",https://qaranjobs.com/job/training-center-manager-at-srcs-mogadishu-somalia/
"Senior Project Manager at BBC Media Action, Hargeisa, Somaliland",BBC Media Action ,"Hargeisa, Somalia"," March 23, 2024",https://qaranjobs.com/job/senior-project-manager-at-bbc-media-action-hargeisa-somaliland/
"Finance Assistant, Mogadishu, Somalia",Federal Republic of Somalia ,"Mogadishu, Somalia"," March 19, 2024",https://qaranjobs.com/job/finance-assistant-mogadishu-somalia-18/
"Puntland Liaison Officer, Mogadishu, Somalia",Federal Republic of Somalia ,"Mogadishu, Somalia"," March 19, 2024",https://qaranjobs.com/job/puntland-liaison-officer-mogadishu-somalia/
Technical Adviser ,Concern Worldwide ,"Mogadishu, Somalia"," March 19, 2024",https://qaranjobs.com/job/technical-adviser-climate-change-adaptation-and-resilience-mogadishu-somalia-2/
"Drivers (Open to Somali Nationals Only), Bosaso, Somalia",Save the Children ,"Bosaso, Somalia"," March 19, 2024",https://qaranjobs.com/job/drivers-open-to-somali-nationals-only-bosaso-somalia/
"Area Nutrition Program Manager (1 Position), Mogadishu, Somalia",Save the Children ,"Mogadishu, Somalia"," March 19, 2024",https://qaranjobs.com/job/area-nutrition-program-manager-1-position-mogadishu-somalia/
"Livelihoods and Food Security Assistant (National Position), Dhusamareeb, Somalia",Norwegian Refugee Council (NRC) ,"Dhusamareeb, Somalia"," March 19, 2024",https://qaranjobs.com/job/livelihoods-and-food-security-assistant-national-position-dhusamareeb-somalia/
"Human Resources Specialist at UNOPS, Mogadishu, Somalia",United Nations Office for Project Services (UNOPS) ,"Mogadishu, Somalia"," March 19, 2024",https://qaranjobs.com/job/human-resources-specialist-at-unops-mogadishu-somalia/
"Programme Officer (Joint Resilience Programme Coordination), NOB, Dhusamareeb/Galkayo, Somalia",United Nations Children’s Fund (UNICEF) ,"Dhusamareeb/Galkayo, Somalia"," March 19, 2024",https://qaranjobs.com/job/programme-officer-joint-resilience-programme-coordination-nob-dhusamareeb-galkayo-somalia/
"ICT Analyst at UNDP, Mogadishu, Somalia",United Nations Development Programme (UNDP) ,"Mogadishu, Somalia"," March 19, 2024",https://qaranjobs.com/job/ict-analyst-at-undp-mogadishu-somalia/
"Finance Assistant, Bardhere, Somalia",Islamic Relief ,"Bardhere, Somalia"," March 19, 2024",https://qaranjobs.com/job/finance-assistant-bardhere-somalia-2/
"Female Cook, Mogadishu, Somalia",Islamic Relief ,"Mogadishu, Somalia"," March 19, 2024",https://qaranjobs.com/job/female-cook-mogadishu-somalia/
"ANALYSIS ON MARKET SYSTEMS AND LIVELIHOOD ADAPTATION, Gedo, Somalia",Trócaire ,"Gedo, Somalia"," March 19, 2024",https://qaranjobs.com/job/analysis-on-market-systems-and-livelihood-adaptation-gedo-somalia/
"Monitoring and Evaluation Officer, Mogadishu, Somalia",Al Ameen ,"Mogadishu, Somalia"," March 19, 2024",https://qaranjobs.com/job/monitoring-and-evaluation-officer-mogadishu-somalia-6/
"Public Sector Reform Advisor, Mogadishu, Somalia",Federal Republic of Somalia ,"Mogadishu, Somalia"," March 19, 2024",https://qaranjobs.com/job/public-sector-reform-advisor-mogadishu-somalia/
"SERP Project Manager, Dhumasareb, Somalia",Federal Republic of Somalia ,"Dhumasareb, Somalia"," March 19, 2024",https://qaranjobs.com/job/serp-project-manager-dhumasareb-somalia/
"SERP Project Manager, Baidoa, Somalia",Federal Republic of Somalia ,"Baidoa, Somalia"," March 19, 2024",https://qaranjobs.com/job/serp-project-manager-baidoa-somalia/
"SERP Project Manager, Kismayo, Somalia",Federal Republic of Somalia ,"Kismayo, Somalia"," March 19, 2024",https://qaranjobs.com/job/serp-project-manager-kismayo-somalia/
"SERP Project Manager, Jowhar, Somalia",Federal Republic of Somalia ,"Jowhar, Somalia"," March 19, 2024",https://qaranjobs.com/job/serp-project-manager-jowhar-somalia/
"Drivers (Open to Somali Nationals Only), Gardo, Bari region of Somalia",Save the Children ,"Gardo (Qardho), Bari, Somalia"," March 19, 2024",https://qaranjobs.com/job/drivers-open-to-somali-nationals-only-gardo-bari-region-of-somalia/
"Driver (Open to Somali Nationals Only), Garowe, Somalia",Save the Children ,"Garowe, Somalia"," March 19, 2024",https://qaranjobs.com/job/driver-open-to-somali-nationals-only-garowe-somalia/
Qualified Nurse at SRCS,Somali Red Crescent Society (SRCS) ,Somalia," March 19, 2024",https://qaranjobs.com/job/qualified-nurse-at-srcs/
"Field Health Officer at SRCS, Dhusamareeb, Somalia",Somali Red Crescent Society (SRCS) ,"Dhusamareeb, Somalia"," March 19, 2024",https://qaranjobs.com/job/field-health-officer-at-srcs-dhusamareeb-somalia/
"Disaster Risk Manager at SRCS, Mogadishu, Somalia",Somali Red Crescent Society (SRCS) ,"Mogadishu, Somalia"," March 19, 2024",https://qaranjobs.com/job/disaster-risk-manager-at-srcs-mogadishu-somalia/
"Restoring Family Links (RFL) at SRCS, Mogadishu, Somalia",Somali Red Crescent Society (SRCS) ,"Mogadishu, Somalia"," March 19, 2024",https://qaranjobs.com/job/restoring-family-links-rfl-at-srcs-mogadishu-somalia/
"HEAD OF ANTENNA AT ICRC IN GALKAYO, SOMALIA",International Committee Of The Red Cross (ICRC) ,"Galkayo, Somalia"," March 19, 2024",https://qaranjobs.com/job/head-of-antenna-at-icrc-in-galkayo-somalia/
"Re-Advert: Water and Habitat Engineer at ICRC, Baidoa, Somalia",International Committee Of The Red Cross (ICRC) ,"Baidoa, Somalia"," March 19, 2024",https://qaranjobs.com/job/re-advert-water-and-habitat-engineer-at-icrc-baidoa-somalia/
"Finance and Support Services Director, Mogadishu, Somalia",World Vision ,"Mogadishu, Somalia"," March 17, 2024",https://qaranjobs.com/job/finance-and-support-services-director-mogadishu-somalia/
"Information and Communications Technology Assistant at IOM, Hargeisa, Somaliland",International Organization for Migration (IOM) ,"Hargeisa, Somalia"," March 17, 2024",https://qaranjobs.com/job/information-and-communications-technology-assistant-at-iom-hargeisa-somaliland/
"Road Construction Inspector, Garowe, Somalia",CTG - Committed To Good ,"Garowe, Somalia"," March 17, 2024",https://qaranjobs.com/job/road-construction-inspector-garowe-somalia/
"Material Engineer (International), Kismayo, Somalia",CTG - Committed To Good ,"Kismayo, Somalia"," March 17, 2024",https://qaranjobs.com/job/material-engineer-international-kismayo-somalia/
"Senior Technical Assistant (DS/Engineering), Bossaso, Somalia",International Organization for Migration (IOM) ,"Bossaso, Somalia"," March 17, 2024",https://qaranjobs.com/job/senior-technical-assistant-ds-engineering-bossaso-somalia/
"Human Resources and Logistics Officer, Mogadishu, Somalia",Diakonie Katastrophenhilfe ,"Mogadishu, Somalia"," March 17, 2024",https://qaranjobs.com/job/human-resources-and-logistics-officer-mogadishu-somalia/
Consultancy services ,Norwegian Refugee Council (NRC) ,"Afgoye, Lower Shabelle, Somalia"," March 17, 2024",https://qaranjobs.com/job/consultancy-services-examining-rental-markets-and-incentives-for-securing-land-tenure-for-displacement-affected-communities-in-afgooye-somalia/
"Finance Assistant, Bardhere, Somalia",Islamic Relief ,"Bardhere, Somalia"," March 17, 2024",https://qaranjobs.com/job/finance-assistant-bardhere-somalia/
"CHIEF OF PARTY, GLOBAL PARTNERSHIP FOR EDUCATION, Mogadishu, Somalia",CARE ,"Mogadishu, Somalia"," March 17, 2024",https://qaranjobs.com/job/chief-of-party-global-partnership-for-education-mogadishu-somalia/
"Information Management Specialist, Mogadishu, Somalia",Office for the Coordination of Humanitarian Affairs (UNOCHA) ,"Mogadishu, Somalia"," March 17, 2024",https://qaranjobs.com/job/information-management-specialist-mogadishu-somalia/
Associate RSD Officer ,United Nations High Commissioner for Refugees (UNHCR) ,"Bosasso, Somalia"," March 17, 2024",https://qaranjobs.com/job/associate-rsd-officer-level-2-bosasso-somalia/
"Programme Policy Officer (School Feeding Project Manager) Consultant II, Mogadishu, Somalia",World Food Programme (WFP) ,"Mogadishu, Somalia"," March 17, 2024",https://qaranjobs.com/job/programme-policy-officer-school-feeding-project-manager-consultant-ii-mogadishu-somalia/
"Programme Policy Officer (Accountability to Affected Population) Consultant II, Mogadishu, Somalia",World Food Programme (WFP) ,"Mogadishu, Somalia"," March 14, 2024",https://qaranjobs.com/job/programme-policy-officer-accountability-to-affected-population-consultant-ii-mogadishu-somalia/
"Compliance and Risk Management Specialist (CPCP), Mogadishu, Somalia",World Health Organization (WHO) ,"Mogadishu, Somalia"," March 14, 2024",https://qaranjobs.com/job/compliance-and-risk-management-specialist-cpcp-mogadishu-somalia/
"Programme Management Specialist (CPCP), Mogadishu, Somalia",World Health Organization (WHO) ,"Mogadishu, Somalia"," March 14, 2024",https://qaranjobs.com/job/programme-management-specialist-cpcp-mogadishu-somalia/
Protection Team Leader ,Danish Refugee Council (DRC) ,"Beledweyne, Somalia"," March 14, 2024",https://qaranjobs.com/job/protection-team-leader-beledweyne-somalia-2/
"Project Administrative Support, Mogadishu, Somalia","Federal Republic of Somalia, MoLSA ","Mogadishu, Somalia"," March 14, 2024",https://qaranjobs.com/job/project-administrative-support-mogadishu-somalia/
Somali jobs at the Federal Republic of Somalia (11 positions) are open now.,Federal Republic of Somalia ,Somalia," March 13, 2024",https://qaranjobs.com/job/somali-jobs-at-the-federal-republic-of-somalia-11-positions-are-open-now/
"Somali jobs at the Federal Republic of Somalia (6 positions) are closing today, March 13, 2024.",Federal Republic of Somalia - Jamhuuriyadda Federaalka Soomaaliya ,Somalia," March 13, 2024",https://qaranjobs.com/?post_type=job_listing&p=30494
Shock Responsive Safety Net for Human Capital Project (SNHCP),"Federal Republic of Somalia, MoLSA ","Mogadishu, Somalia"," March 12, 2024",https://qaranjobs.com/job/shock-responsive-safety-net-for-human-capital-project-snhcp/
"Education Assistant, Garowe, Somalia",Norwegian Refugee Council (NRC) ,"Garowe, Somalia"," March 12, 2024",https://qaranjobs.com/job/education-assistant-garowe-somalia/
"Monitoring Program Support Officer Consultant, Mogadishu Somalia",Creative Associates International ,Mogadishu Somalia," March 12, 2024",https://qaranjobs.com/job/monitoring-program-support-officer-consultant-mogadishu-somalia/
"Health Emergency Lead at WHO, Mogadishu, Somalia",World Health Organization (WHO) ,"Mogadishu, Somalia"," March 11, 2024",https://qaranjobs.com/job/health-emergency-lead-at-who-mogadishu-somalia/
"Agronomist Officer at COOPI, Dollow, Gedo Region, Somalia",COOPI - Cooperazione Internazionale ,"Dollow, Gedo, Somalia"," March 11, 2024",https://qaranjobs.com/job/agronomist-officer-at-coopi-dollow-gedo-region-somalia/
"Economic Development Officer at COOPI, Dollow, Gedo Region, Somalia",COOPI - Cooperazione Internazionale ,"Dollow, Gedo Region, Somalia"," March 11, 2024",https://qaranjobs.com/job/economic-development-officer-at-coopi-dollow-gedo-region-somalia/
"Economic Development Officer at COOPI, Baidoa, Bay Region, Somalia",COOPI - Cooperazione Internazionale ,"Baidoa, Bay, Somalia"," March 11, 2024",https://qaranjobs.com/job/economic-development-officer-at-coopi-baidoa-bay-region-somalia/
"Education Assistant at NRC, Garowe, Somalia",Norwegian Refugee Council (NRC) ,"Garowe, Somalia"," March 11, 2024",https://qaranjobs.com/job/education-assistant-at-nrc-garowe-somalia/
"Child Protection Officer Headquarter, Mogadishu, Somalia",Pragmatic Help Achieving Social Empowerment (PHASE) ,"Mogadishu, Somalia"," March 9, 2024",https://qaranjobs.com/job/child-protection-officer-headquarter-mogadishu-somalia/
"Mid Term Evaluation (MTE) of the Talo Wadaag (Phase II) Programme at Interpeace, Somalia",Interpeace ,Somalia," March 9, 2024",https://qaranjobs.com/job/mid-term-evaluation-mte-of-the-talo-wadaag-phase-ii-programme-at-interpeace-somalia/
"Coordinator & Lecturer in Social Science at IOM, Mogadishu, Somalia",International Organization for Migration (IOM) ,"Mogadishu, Somalia"," March 9, 2024",https://qaranjobs.com/job/coordinator-lecturer-in-social-science-at-iom-mogadishu-somalia/
"Data and Analytics Specialist at UNICEF, Mogadishu, Somalia",United Nations Children's Fund (UNICEF) ,"Mogadishu, Somalia"," March 9, 2024",https://qaranjobs.com/job/data-and-analytics-specialist-at-unicef-mogadishu-somalia/
"Child Protection Specialist at UNICEF, Mogadishu, Somalia",United Nations Children's Fund (UNICEF) ,"Mogadishu, Somalia"," March 9, 2024",https://qaranjobs.com/job/child-protection-specialist-at-unicef-mogadishu-somalia/
"Social & Behavior Change Officer at UNICEF, Mogadishu, Somalia",United Nations Children's Fund (UNICEF) ,"Mogadishu, Somalia"," March 9, 2024",https://qaranjobs.com/job/social-behavior-change-officer-at-unicef-mogadishu-somalia/
"Administration Officer Site Maintenance NOA at WFP, Mogadishu, Somalia",World Food Programme (WFP) ,"Mogadishu, Somalia"," March 9, 2024",https://qaranjobs.com/job/administration-officer-site-maintenance-noa-at-wfp-mogadishu-somalia/
"Field Security Coordination Officer at UNDSS, Garowe, Somalia",The Department of Safety and Security (UNDSS) ,"Garowe, Somalia"," March 9, 2024",https://qaranjobs.com/job/field-security-coordination-officer-at-undss-garowe-somalia/
"Subnational Nutrition Cluster Coordinator, Mogadishu, Somalia",Action Against Hunger-USA ,"Mogadishu, Somalia"," March 9, 2024",https://qaranjobs.com/job/subnational-nutrition-cluster-coordinator-mogadishu-somalia/
"WHO Health Emergency Lead at WHO, Mogadishu, Somalia",World Health Organization (WHO) ,"Mogadishu, Somalia"," March 9, 2024",https://qaranjobs.com/job/who-health-emergency-lead-at-who-mogadishu-somalia/
"Material Engineer (International) (1 position) at CTG, Kismayo, Somalia",CTG - Committed To Good ,"Kismayo, Somalia"," March 9, 2024",https://qaranjobs.com/job/material-engineer-international-1-position-at-ctg-kismayo-somalia/
"Road Construction Inspector (1 position) at CTG, Garowe, Somalia",CTG - Committed To Good ,"Garowe, Somalia"," March 9, 2024",https://qaranjobs.com/job/road-construction-inspector-1-position-at-ctg-garowe-somalia/
Team Assistant ,World Health Organization (WHO) ,"Mogadishu, Somalia"," March 9, 2024",https://qaranjobs.com/job/team-assistant-1-position-lica-4-unops-mogadishu-somalia-2/
